Rank,Tournament Rank,Team Name,Conference,Wins,Losses,AdjEM,AdjO,AdjO Rank,AdjD,AdjD Rank,AdjT,AdjT Rank,Luck,Luck Rank,SS AdjEM,SS AdjEM Rank,SS OppO,SS OppO Rank,SS OppD,SS OppD Rank,NCSOS AdjEM,NCSOS AdjEM Rank
64,N/A,Bradley,MVC,22,11,+12.44,112.4,74,100.0,58,66.2,254,-.044,289,+3.71,102,107.8,114,104.1,97,+2.89,115
65,N/A,Maryland,B10,16,17,+12.42,107.1,160,94.7,14,65.4,298,-.093,350,+9.82,47,111.3,47,101.5,42,-4.77,312
66,N/A,Princeton,Ivy,24,4,+12.35,117.1,28,104.7,144,65.0,311,+.038,90,+0.55,149,106.3,172,105.7,159,+3.33,95
67,N/A,Butler,BE,18,14,+12.25,113.0,71,100.8,73,68.4,121,-.012,218,+11.62,17,112.4,20,100.8,21,+2.35,124
68,N/A,Kansas St.,B12,19,14,+12.08,108.4,138,96.4,22,67.3,187,+.037,92,+11.68,15,111.7,40,100.0,5,+0.20,197
69,10,Virginia,ACC,23,10,+12.08,105.4,194,93.3,7,59.9,362,+.109,12,+8.03,77,111.2,53,103.2,86,-1.19,236
70,N/A,San Francisco,WCC,23,10,+11.45,110.4,97,98.9,39,67.2,193,-.039,285,-0.70,189,106.4,167,107.1,223,-2.67,269
71,N/A,SMU,Amer,20,12,+11.23,111.2,87,100.0,59,67.4,170,-.083,341,+2.97,109,108.2,106,105.2,135,+0.45,185
72,N/A,UNLV,MWC,19,12,+10.89,112.3,75,101.4,92,64.9,312,+.000,179,+7.48,82,110.4,75,103.0,83,+3.77,91
73,N/A,North Texas,Amer,18,14,+10.89,109.7,107,98.8,37,61.4,360,-.116,360,+5.23,94,109.6,89,104.3,106,+4.40,79
74,N/A,Memphis,Amer,22,10,+10.54,113.1,70,102.5,105,71.5,19,+.036,97,+5.06,95,109.2,93,104.2,102,+5.15,67
75,N/A,Boston College,ACC,19,15,+10.49,113.2,67,102.7,107,67.1,203,-.021,242,+7.99,78,110.0,83,102.0,66,-0.50,213
76,N/A,UC Irvine,BW,24,9,+10.35,109.4,110,99.1,40,68.4,119,-.045,293,-0.29,176,105.9,190,106.2,171,+5.98,49
77,N/A,Penn St.,B10,16,17,+10.34,111.4,86,101.0,81,69.7,61,-.059,314,+9.47,55,111.1,56,101.7,50,-3.93,297
78,N/A,Minnesota,B10,18,14,+10.16,114.0,49,103.9,128,66.5,240,-.026,255,+7.38,83,110.3,81,102.9,82,-12.72,362
79,N/A,Appalachian St.,SB,27,6,+10.14,108.3,141,98.1,33,66.7,229,+.022,124,-1.68,213,106.2,178,107.9,273,+0.52,181
80,N/A,VCU,A10,22,13,+10.02,109.3,115,99.2,43,65.2,302,-.032,269,+4.13,100,108.2,107,104.0,94,+0.25,195
81,13,Samford,SC,29,5,+9.79,113.1,69,103.3,116,72.5,14,+.129,9,-2.73,247,104.3,268,107.0,216,-5.57,330
82,N/A,Richmond,A10,23,9,+9.57,107.5,153,97.9,32,66.8,219,+.040,87,+2.88,110,107.4,124,104.6,111,-2.90,275
83,N/A,Florida St.,ACC,17,16,+9.49,110.5,94,101.0,80,71.0,31,+.013,152,+10.45,35,112.3,23,101.9,61,+2.92,110
84,13,Yale,Ivy,22,9,+9.47,110.8,89,101.4,90,64.5,327,+.001,177,+2.09,127,108.3,102,106.2,176,+5.38,61
85,N/A,USC,P12,15,18,+9.42,110.3,99,100.9,78,68.0,139,-.042,287,+10.74,27,111.6,44,100.8,20,+6.29,44
86,11,Duquesne,A10,24,11,+9.37,106.9,166,97.5,28,66.3,251,+.049,66,+4.86,97,109.1,94,104.2,103,+1.85,140
87,N/A,Mississippi,SEC,20,12,+9.31,114.0,53,104.6,142,66.8,218,+.095,16,+8.84,72,110.9,61,102.0,64,-1.53,247
88,N/A,Syracuse,ACC,20,12,+9.28,111.0,88,101.7,95,70.6,38,+.132,7,+10.33,38,112.0,33,101.7,49,+3.31,96
89,N/A,South Florida,Amer,24,7,+9.13,110.4,96,101.3,85,68.0,143,+.056,56,+0.37,153,106.4,166,106.0,164,-4.14,302
90,N/A,Georgia,SEC,17,16,+9.05,109.6,108,100.5,69,68.3,126,+.000,181,+9.55,54,112.3,25,102.7,77,+0.26,194
91,N/A,LSU,SEC,17,15,+8.72,110.1,102,101.4,91,69.6,67,-.009,210,+9.01,69,111.4,46,102.4,73,-1.27,239
